Colombia	GK	David Ospina	Atlético Nacional
Colombia	DF	Daniel Muñoz	Crystal Palace
Colombia	DF	Jhon Lucumí	Bologna
Colombia	DF	Santiago Arias	Independiente
Colombia	MF	Kevin Castaño	River Plate
Colombia	MF	Richard Ríos	Benfica
Colombia	FW	Luis Díaz	Bayern Munich
Colombia	MF	Jorge Carrascal	Flamengo
Colombia	FW	Jhon Córdoba	Krasnodar
Colombia	MF	James Rodríguez	Minnesota United
Colombia	MF	Jhon Arias	Palmeiras
Colombia	GK	Camilo Vargas	Atlas
Colombia	DF	Yerry Mina	Cagliari
Colombia	DF	Gustavo Puerta	Racing Santander
Colombia	MF	Juan Portilla	Athletico Paranaense
Colombia	MF	Jefferson Lerma	Crystal Palace
Colombia	DF	Johan Mojica	Mallorca
Colombia	DF	Willer Ditta	Cruz Azul
Colombia	FW	Cucho Hernández	Real Betis
Colombia	MF	Juan Fernando Quintero	River Plate
Colombia	FW	Jaminton Campaz	Rosario Central
Colombia	DF	Deiver Machado	Nantes
Colombia	DF	Davinson Sánchez	Galatasaray
Colombia	GK	Álvaro Montero	Vélez Sarsfield
Colombia	FW	Luis Suárez	Sporting CP
Colombia	FW	Andrés Gómez	Vasco da Gama
DR Congo	GK	Lionel Mpasi	Le Havre
DR Congo	DF	Aaron Wan-Bissaka	West Ham United
DR Congo	DF	Steve Kapuadi	Widzew Łódź
DR Congo	DF	Axel Tuanzebe	Burnley
DR Congo	DF	Dylan Batubinsika	AEL
DR Congo	MF	Ngal'ayel Mukau	Lille
DR Congo	MF	Nathanaël Mbuku	Montpellier
DR Congo	MF	Samuel Moutoussamy	Atromitos
DR Congo	FW	Brian Cipenga	Castellón
DR Congo	MF	Théo Bongonda	Spartak Moscow
DR Congo	FW	Gaël Kakuta	AEL
DR Congo	DF	Joris Kayembe	Genk
DR Congo	FW	Meschak Elia	Alanyaspor
DR Congo	MF	Noah Sadiki	Sunderland
DR Congo	MF	Aaron Tshibola	Kilmarnock
DR Congo	GK	Timothy Fayulu	Noah
DR Congo	FW	Cédric Bakambu	Real Betis
DR Congo	MF	Charles Pickel	Espanyol
DR Congo	FW	Fiston Mayele	Pyramids
DR Congo	FW	Yoane Wissa	Newcastle United
DR Congo	GK	Matthieu Epolo	Standard Liège
DR Congo	DF	Chancel Mbemba	Lille
DR Congo	FW	Simon Banza	Al Jazira
DR Congo	DF	Gédéon Kalulu	Aris Limassol
DR Congo	MF	Edo Kayembe	Watford
DR Congo	DF	Arthur Masuaku	Lens
Portugal	GK	Diogo Costa	Porto
Portugal	DF	Nélson Semedo	Fenerbahçe
Portugal	DF	Rúben Dias	Manchester City
Portugal	DF	Tomás Araújo	Benfica
Portugal	DF	Diogo Dalot	Manchester United
Portugal	MF	Matheus Nunes	Manchester City
Portugal	FW	Cristiano Ronaldo	Al-Nassr
Portugal	MF	Bruno Fernandes	Manchester United
Portugal	FW	Gonçalo Ramos	Paris Saint-Germain
Portugal	MF	Bernardo Silva	Manchester City
Portugal	FW	João Félix	Al-Nassr
Portugal	GK	José Sá	Wolverhampton Wanderers
Portugal	DF	Renato Veiga	Villarreal
Portugal	DF	Gonçalo Inácio	Sporting CP
Portugal	MF	João Neves	Paris Saint-Germain
Portugal	FW	Francisco Trincão	Sporting CP
Portugal	FW	Rafael Leão	Milan
Portugal	FW	Pedro Neto	Chelsea
Portugal	FW	Gonçalo Guedes	Real Sociedad
Portugal	DF	João Cancelo	Barcelona
Portugal	MF	Rúben Neves	Al-Hilal
Portugal	GK	Rui Silva	Sporting CP
Portugal	MF	Vitinha	Paris Saint-Germain
Portugal	DF	Samú Costa	Mallorca
Portugal	DF	Nuno Mendes	Paris Saint-Germain
Portugal	FW	Francisco Conceição	Juventus
Uzbekistan	GK	Utkir Yusupov	Navbahor
Uzbekistan	DF	Abdukodir Khusanov	Manchester City
Uzbekistan	DF	Khojiakbar Alijonov	Pakhtakor
Uzbekistan	DF	Farrukh Sayfiev	Neftchi Fergana
Uzbekistan	DF	Rustam Ashurmatov	Esteghlal
Uzbekistan	MF	Akmal Mozgovoy	Pakhtakor
Uzbekistan	MF	Otabek Shukurov	Baniyas
Uzbekistan	MF	Jamshid Iskanderov	Neftchi Fergana
Uzbekistan	MF	Odiljon Hamrobekov	Tractor
Uzbekistan	MF	Jaloliddin Masharipov	Esteghlal
Uzbekistan	MF	Oston Urunov	Persepolis
Uzbekistan	GK	Abduvohid Nematov	Nasaf
Uzbekistan	DF	Sherzod Nasrullaev	Nasaf
Uzbekistan	FW	Eldor Shomurodov	İstanbul Başakşehir
Uzbekistan	DF	Umar Eshmurodov	Nasaf
Uzbekistan	GK	Botirali Ergashev	Neftchi Fergana
Uzbekistan	MF	Dostonbek Khamdamov	Pakhtakor
Uzbekistan	DF	Abdulla Abdullaev	Dibba
Uzbekistan	MF	Azizjon Ganiev	Al Bataeh
Uzbekistan	FW	Azizbek Amonov	Dinamo Samarqand
Uzbekistan	FW	Igor Sergeev	Persepolis
Uzbekistan	MF	Abbosbek Fayzullaev	İstanbul Başakşehir
Uzbekistan	MF	Sherzod Esanov	Bukhara
Uzbekistan	DF	Bekhruz Karimov	Surkhon Termiz
Uzbekistan	DF	Avazbek Ulmasaliev	AGMK
Uzbekistan	DF	Jakhongir Urozov	Dinamo Samarqand
